Kalshi ID,Kalshi Title,Polymarket ID,Polymarket Title,Cosine
KXSPACEXCOUNT-25-180,How many launches will SpaceX have in 2025? (Above 180) [Above 180],516810,Will SpaceX have between 180-199 launches in 2025?,0.93736
KXROBOTAXICA-25,Will Tesla's robotaxi be offered in California before 2025? [Before 2026],525860,Will Tesla launch robotaxis in California in 2025?,0.93729
KXF1CONSTRUCTORS-25-ALP,Will the Alpine Renault win the F1 Constructors Champion?? [Alpine],525330,Will Alpine be the 2025 Constructors Champion?,0.93712
KXSPOTIFYSONG-25-BTS,Will BTS release a song this yearE? [BTS],549543,Will BTS release any tracks in 2025?,0.93695
KXSPACEXCOUNT-25-140,How many launches will SpaceX have in 2025? (Above 140) [Above 140],516808,Will SpaceX have between 140-159 launches in 2025?,0.9369
KXPRESCHILE-25-JKAI,Will Johannes Kaiser win the Chilean presidential election? (:: National Libertarian Party) [Johannes Kaiser],541621,Will Johannes Kaiser win the Chilean presidential election?,0.93624
KXSHUTDOWNBY-25,Government shutdown in 2025? (In 2025) [Before 2026],518036,US government shutdown in 2025?,0.93544
KXENDORSEADAMS-25NOV04-DTRU,Will Donald Trump endorse Eric Adams in 2025 NYC Mayoral Race? [Donald Trump],556147,Will Trump endorse Eric Adams?,0.93525
KXCUOMODROPOUT-25-EADA,Will Eric Adams drop out of the NYC Mayoral race? [Eric Adams],538928,Will Eric Adams win the 2025 NYC mayoral election?,0.93499
KXDJTGREENLAND-25,Will Donald Trump visit Greenland in 2025? [In 2025],517817,Will Trump acquire Greenland in 2025?,0.93427
KXSPACEXCOUNT-25-120,How many launches will SpaceX have in 2025? (Above 120) [Above 120],516734,Will SpaceX have between 120-139 launches in 2025?,0.93408
KXMLBNLEAST-25-MIA,NL East Division Winner? [Miami],530911,Will the Miami Marlins win the NL East Division?,0.93391
KXTIME-25-AI,Will AI be Time Person of the Year in 2025? (AI) [AI],555826,Will Artificial Intelligence be TIME's Person of the Year for 2025?,0.93302
KXMLBNLEAST-25-PHI,NL East Division Winner? [Philadelphia],530913,Will the Philadelphia Phillies win the NL East Division?,0.93283
KXPRESCHILE-25-JMUL,Will Jaime Mulet win the Chilean presidential election? (:: Social Green Regionalist Federation) [Jaime Mulet],541616,Will Jaime Mulet win the Chilean presidential election?,0.93264
KXNFLNFCCHAMP-25-MIN,Pro Football NFC Championship Winner? [Minnesota],540246,Will the Vikings win the NFC Championship?,0.93252
KXNBA-26-MIL,Will the Milwaukee win the 2026 Pro Basketball Finals? [Milwaukee],553872,Will the Milwaukee Bucks win the 2026 NBA Finals?,0.93157
KXMLBALEAST-25-BOS,AL East Division Winner? [Boston],530878,Will the Boston Red Sox win the AL East Division?,0.9314
KXMLBNLEAST-25-WSH,NL East Division Winner? [Washington],530914,Will the Washington Nationals win the NL East Division?,0.93054
KXSB-26-IND,Will the Indianapolis win the 2026 Pro Football Championship? [Indianapolis],540219,Will the Indianapolis Colts win Super Bowl 2026?,0.93041
KXNBA-26-CLE,Will the Cleveland win the 2026 Pro Basketball Finals? [Cleveland],553857,Will the Cleveland Cavaliers win the 2026 NBA Finals?,0.93025
KXREACTOR-25DEC31,"Will a new nuclear reactor be approved by Dec 31, 2025? (By Dec 31, 2025) [Grants license]",551136,US grants license for new nuclear reactor in 2025?,0.9302
KXF1CONSTRUCTORS-25-MER,Will the Mercedes win the F1 Constructors Champion?? [Mercedes AMG Motorsport],525327,Will Mercedes be the 2025 Constructors Champion?,0.9294
KXNFLAFCCHAMP-25-IND,Pro Football AFC Championship Winner? [Indianapolis],540263,Will the Colts win the AFC Championship?,0.92939
KXENDORSECUOMO-25NOV04-DTRU,Will Donald Trump endorse Andrew Cuomo in 2025 NYC Mayoral Race? [Donald Trump],555658,Will Trump endorse a candidate for NYC Mayor?,0.92928
KXBBGMAYOR-25,Will Michael Bloomberg run for NYC Mayor? [Before 2025],538939,Will Michael Bloomberg win the 2025 NYC mayoral election?,0.9289
KXNOBELPEACE-25-EM,Who will win the Nobel Peace Prize? [Elon Musk],520928,Will Elon Musk win Nobel Peace Prize in 2025?,0.92853
KXMLBALWEST-25-HOU,AL West Division Winner? [Houston],530890,Will the Houston Astros win the AL West Division?,0.92834
KXMLBALEAST-25-TB,AL East Division Winner? [Tampa Bay],530880,Will the Tampa Bay Rays win the AL East Division?,0.92822
KXPAHLAVIVISITA-25,"Will Reza Pahlavi visit Iran before Sep 1, 2025? [Before Sep 1, 2025]",552579,Will Reza Pahlavi enter Iran before September?,0.92783
KXNFLAFCCHAMP-25-PIT,Pro Football AFC Championship Winner? [Pittsburgh],540261,Will the Steelers win the AFC Championship?,0.92764
KXNBA-26-HOU,Will the Houston win the 2026 Pro Basketball Finals? [Houston],553860,Will the Houston Rockets win the 2026 NBA Finals?,0.92763
KXMLBNLEAST-25-ATL,NL East Division Winner? [Atlanta],530910,Will the Atlanta Braves win the NL East Division?,0.92738
KXETHMINY-25DEC31-999.99,"How low will Ethereum get this year? ($1,000 or above) [Below $1,000]",516884,"Will Ethereum dip to $1,000 by December 31?",0.9272
KXNBA-26-DAL,Will the Dallas win the 2026 Pro Basketball Finals? [Dallas],553870,Will the Dallas Mavericks win the 2026 NBA Finals?,0.92708
KXNBA-26-IND,Will the Indiana win the 2026 Pro Basketball Finals? [Indiana],553861,Will the Indiana Pacers win the 2026 NBA Finals?,0.9268
KXMLBNLWEST-25-COL,NL West Division Winner? [Colorado],530923,Will the Colorado Rockies win the NL West Division?,0.92641
KXNBA-26-PHI,Will the Philadelphia win the 2026 Pro Basketball Finals? [Philadelphia],553869,Will the Philadelphia 76ers win the 2026 NBA Finals?,0.92633
KXMALAWIPRES-25-LCHA,Who will win the next Malawian presidential election? (:: MCP) [Lazarus Chakwera],545036,Will Lazarus Chakwera win the 2025 Malawi presidential election?,0.92619
KXMLBALEAST-25-BAL,AL East Division Winner? [Baltimore],530877,Will the Baltimore Orioles win the AL East Division?,0.92585
KXNFLAFCCHAMP-25-DEN,Pro Football AFC Championship Winner? [Denver],540266,Will the Broncos win the AFC Championship?,0.92561
KXIRELANDPRES-25-BAND,Who will be elected President of Ireland in 2025? [Barry Andrews],529285,Will Barry Andrews win the Irish Presidential Election?,0.92538
KXBOLIVIAPRES-25-JQ,Who will win the Bolivian presidential election? [Jorge Quiroga],543262,Will Jorge “Tuto” Quiroga win the 2025 Bolivia presidential election?,0.92529
KXTRDBAN-25DEC31,"Will a Congressional stock trading ban become law by December 31, 2025? [Banned]",537893,US congress stock trading ban in 2025?,0.9249
KXBUCHARESTMAYOR-25-GFIR,Who will win the Bucharest mayoral election? [Gabriela Firea],546245,Will Gabriela Firea be the next Mayor of Bucharest?,0.92487
KXFEDDECISION-25OCT-H25,Will the Federal Reserve Hike rates by 25bps at their October 2025 meeting? (Hike 25bps) [Hike 25bps],553813,Fed increases interest rates by 25+ bps after October 2025 meeting?,0.92485
KXNFLNFCCHAMP-25-DAL,Pro Football NFC Championship Winner? [Dallas],540242,Will the Cowboys win the NFC Championship?,0.92479
KXNBA-26-DET,Will the Detroit win the 2026 Pro Basketball Finals? [Detroit],553871,Will the Detroit Pistons win the 2026 NBA Finals?,0.92449
KXMLBNLCENT-25-CIN,NL Central Division Winner? [Cincinnati],530917,Will the Cincinnati Reds win the NL Central Division?,0.92436
KXPRESCHILE-25-EART,Will Eduardo Artés win the Chilean presidential election? (:: Chilean Communist Party (Proletarian Action)) [Eduardo Artés],541619,Will Eduardo Artés win the Chilean presidential election?,0.92434
KXNFLNFCCHAMP-25-GB,Pro Football NFC Championship Winner? [Green Bay],540244,Will the Packers win the NFC Championship?,0.92426
KXNFLCOTY-26-MVRA,Who will win Coach of the Year? [Mike Vrabel],542326,Will Mike Vrabel win NFL Coach of the Year?,0.92402
KXNBA-26-CHA,Will the Charlotte win the 2026 Pro Basketball Finals? [Charlotte],553882,Will the Charlotte Hornets win the 2026 NBA Finals?,0.92379
KXCUOMODROPOUT-25,Will Andrew Cuomo drop out of the NYC Mayoral race? [Andrew Cuomo],538929,Will Andrew Cuomo win the 2025 NYC mayoral election?,0.92371
KXF1CONSTRUCTORS-25-KIC,Will the Kick Sauber Ferrari win the F1 Constructors Champion?? [Sauber],525334,Will Sauber be the 2025 Constructors Champion?,0.92346
KXBUCHARESTMAYOR-25-DTRI,Who will win the Bucharest mayoral election? [Dan Trifu],546252,Will Dan Trifu be the next Mayor of Bucharest?,0.92342
KXNBA-26-BOS,Will the Boston win the 2026 Pro Basketball Finals? [Boston],553862,Will the Boston Celtics win the 2026 NBA Finals?,0.92333
KXSB-26-GB,Will the Green Bay win the 2026 Pro Football Championship? [Green Bay],540217,Will the Green Bay Packers win Super Bowl 2026?,0.92333
KXPRESNOMFEDCHAIR-25,Will Trump announce his new Chair of the Federal Reserve in 2025? [Before 2026],538308,Will Trump refrain from announcing a next Fed Chair in 2025?,0.92308
KXDEFAULT-25DEC31,"Will the US default on its debt by Dec 31, 2025?? [Defaults]",535293,US defaults on debt in 2025?,0.92299
KXNBA-26-SAS,Will the San Antonio win the 2026 Pro Basketball Finals? [San Antonio],553866,Will the San Antonio Spurs win the 2026 NBA Finals?,0.92293
KXSTARSHIPSPACE-25-8.0,Will  between 7 to 9 Starship launches reach space in 2025? [7 to 9],517038,Will 7-9 SpaceX Starship launches successfully reach Space in 2025?,0.92285
KXSTARSHIPSPACE-25-14.0,Will  between 13 to 15 Starship launches reach space in 2025? [13 to 15],517040,Will 13-15 SpaceX Starship launches successfully reach Space in 2025?,0.92283
KXSTARSHIPSPACE-25-11.0,Will  between 10 to 12 Starship launches reach space in 2025? [10 to 12],517039,Will 10-12 SpaceX Starship launches successfully reach Space in 2025?,0.92275
KXIRELANDPRES-25-HHUM,Who will be elected President of Ireland in 2025? [Heather Humphreys],529300,Will Heather Humphreys win the Irish Presidential Election?,0.92267
KXDEMORAESIMPEACH-25,Will Alexandre de Moraes be impeached this year? [In 2025],526938,Brazilian Supreme Court Minister Alexandre de Moraes be impeached 2025?,0.92266
KXF1CONSTRUCTORS-25-AST,Will the Aston Martin Aramco Mercedes win the F1 Constructors Champion?? [Aston Martin],525329,Will Aston Martin be the 2025 Constructors Champion?,0.92264
KXENDORSEMAM-25NOV04-KHAR,Will Kamala Harris endorse Zohran Mamdani in 2025 NYC Mayoral Race? [Kamala Harris],556020,Will Kamala Harris endorse Mamdani?,0.92239
KXSTARTCLEBROWNS-25SEP09-SSAN,Who will start for Cleveland in pro men's football week one? [Shedeur Sanders],539971,Will Shedeur Sanders start Week 1 for the Browns?,0.9223
KXMLBNLCENT-25-MIL,NL Central Division Winner? [Milwaukee],530918,Will the Milwaukee Brewers win the NL Central Division?,0.92222
KXFEDDECISION-25SEP-H25,Will the Federal Reserve Hike rates by 25bps at their September 2025 meeting? (Hike 25bps) [Hike 25bps],542540,Fed increases interest rates by 25+ bps after September 2025 meeting?,0.92207
KXNFLDROTY-26-JPEA,Who will win Defensive Rookie of the Year? [James Pearce Jr.],541559,Will James Pearce Jr. be the 2025-2026 NFL Defensive Rookie of the Year?,0.92161
KXBOASTABLE-25,Will Bank of America launch a stablecoin in 2025? [In 2025],525283,BOA launches a USD stablecoin in 2025?,0.92147
KXSB-26-DEN,Will the Denver win the 2026 Pro Football Championship? [Denver],540215,Will the Denver Broncos win Super Bowl 2026?,0.92146
KXMLBNLWEST-25-LAD,NL West Division Winner? [Los Angeles D],530927,Will the Los Angeles Dodgers win the NL West Division?,0.92127
KXIRELANDPRES-25-JBUR,Who will be elected President of Ireland in 2025? [Jarlath Burns],529283,Will Jarlath Burns win the Irish Presidential Election?,0.92109
KXNBA-26-NYK,Will the New York win the 2026 Pro Basketball Finals? [New York],553858,Will the New York Knicks win the 2026 NBA Finals?,0.92103
KXNFLAFCCHAMP-25-CIN,Pro Football AFC Championship Winner? [Cincinnati],540259,Will the Bengals win the AFC Championship?,0.92096
KXNFLAFCCHAMP-25-BAL,Pro Football AFC Championship Winner? [Baltimore],540258,Will the Ravens win the AFC Championship?,0.92091
KXNFLOROTY-26-OHAM,Who will win Offensive Rookie of the Year? [Omarion Hampton],541579,Will Omarion Hampton be the 2025-2026 NFL Offensive Rookie of the Year?,0.92088
KXMLBALWEST-25-SEA,AL West Division Winner? [Seattle],530893,Will the Seattle Mariners win the AL West Division?,0.92075
KXBUCHARESTMAYOR-25-DBAL,Who will win the Bucharest mayoral election? [Daniel Baluta],546247,Will Daniel Baluta be the next Mayor of Bucharest?,0.92054
KXMLB-25-BOS,Will the Boston win the Pro Baseball Championship? [Boston],525420,Will the Boston Red Sox win the 2025 American League Championship?,0.92032
KXMALAWIPRES-25-PMUT,Who will win the next Malawian presidential election? (:: DPP) [Peter Mutharika],545037,Will Peter Mutharika win the 2025 Malawi presidential election?,0.92015
KXSB-26-PIT,Will the Pittsburgh win the 2026 Pro Football Championship? [Pittsburgh],540232,Will the Pittsburgh Steelers win Super Bowl 2026?,0.92012
KXNBA-26-PHX,Will the Phoenix win the 2026 Pro Basketball Finals? [Phoenix],553877,Will the Phoenix Suns win the 2026 NBA Finals?,0.92008
KXMLBALCENT-25-DET,AL Central Division Winner? [Detroit],530885,Will the Detroit Tigers win the AL Central Division?,0.92007
KXIRELANDPRES-25-CMCG,Who will be elected President of Ireland in 2025? [Conor McGregor],529276,Will Conor McGregor win the Irish Presidential Election?,0.92003
KXNFLCPOTY-26-DPRE,Who will win Comeback Player of the Year? [Dak Prescott],541518,Will Dak Prescott be the 2025-2026 NFL Comeback Player of the Year?,0.91961
KXMLBALEAST-25-TOR,AL East Division Winner? [Toronto],530881,Will the Toronto Blue Jays win the AL East Division?,0.91937
KXNBA-26-GSW,Will the Golden State win the 2026 Pro Basketball Finals? [Golden State],553867,Will the Golden State Warriors win the 2026 NBA Finals?,0.91935
KXSTARSHIPSPACE-25-17.0,Will  between 16 to 18 Starship launches reach space in 2025? [16 to 18],517041,Will 16-18 SpaceX Starship launches successfully reach Space in 2025?,0.91919
KXNFLNFCCHAMP-25-DET,Pro Football NFC Championship Winner? [Detroit],540243,Will the Lions win the NFC Championship?,0.91917
KXNBA-26-DEN,Will the Denver win the 2026 Pro Basketball Finals? [Denver],553865,Will the Denver Nuggets win the 2026 NBA Finals?,0.91916
KXNBA-26-NOP,Will the New Orleans win the 2026 Pro Basketball Finals? [New Orleans],553875,Will the New Orleans Pelicans win the 2026 NBA Finals?,0.91886
KXSTARTCLEBROWNS-25SEP09-DGAB,Who will start for Cleveland in pro men's football week one? [Dillon Gabriel],539970,Will Dillon Gabriel start Week 1 for the Browns?,0.91875
KXNBA-26-SAC,Will the Sacramento win the 2026 Pro Basketball Finals? [Sacramento],553884,Will the Sacramento Kings win the 2026 NBA Finals?,0.91873
KXNFLAFCCHAMP-25-NE,Pro Football AFC Championship Winner? [New England],540256,Will the Patriots win the AFC Championship?,0.91859
KXSTARSHIPSPACE-25-5.0,Will  between 4 to 6 Starship launches reach space in 2025? [4 to 6],517037,Will 4-6 SpaceX Starship launches successfully reach Space in 2025?,0.91845
KXNFLAFCCHAMP-25-CLE,Pro Football AFC Championship Winner? [Cleveland],540260,Will the Browns win the AFC Championship?,0.91844
KXTOPALBUMBYDRAKE-25DEC,"Drake has a #1 album in 2025? (In 2025) [Dec 27, 2025]",535354,Will Drake release an album in 2025?,0.9184
KXSB-26-MIN,Will the Minnesota win the 2026 Pro Football Championship? [Minnesota],540226,Will the Minnesota Vikings win Super Bowl 2026?,0.91833
KXSB-26-DAL,Will the Dallas win the 2026 Pro Football Championship? [Dallas],540214,Will the Dallas Cowboys win Super Bowl 2026?,0.91832
KXNFLAFCSOUTH-25-IND,Pro Football AFC South Division Winner? [Indianapolis],540275,Will the Indianapolis Colts win the AFC South?,0.91826
KXNFLOROTY-26-AJEA,Who will win Offensive Rookie of the Year? [Ashton Jeanty],541575,Will Ashton Jeanty be the 2025-2026 NFL Offensive Rookie of the Year?,0.91796
KXMLB-25-DET,Will the Detroit win the Pro Baseball Championship? [Detroit],525424,Will the Detroit Tigers win the 2025 American League Championship?,0.91775
KXMLBALCENT-25-MIN,AL Central Division Winner? [Minnesota],530887,Will the Minnesota Twins win the AL Central Division?,0.91771
KXMLBNLCENT-25-STL,NL Central Division Winner? [St. Louis],530920,Will the St. Louis Cardinals win the NL Central Division?,0.9177
KXMLBNLWEST-25-AZ,NL West Division Winner? [Arizona],530922,Will the Arizona Diamondbacks win the NL West Division?,0.91763
KXMLBALCENT-25-KC,AL Central Division Winner? [Kansas City],530886,Will the Kansas City Royals win the AL Central Division?,0.91754
KXSTARSHIPSPACE-25-23.0,Will  between 22 to 24 Starship launches reach space in 2025? [22 to 24],517043,Will 22-24 SpaceX Starship launches successfully reach Space in 2025?,0.91739
KXNBA-26-TOR,Will the Toronto win the 2026 Pro Basketball Finals? [Toronto],553876,Will the Toronto Raptors win the 2026 NBA Finals?,0.91724
KXMAMDANIBOROUGHS-25-QU,Which boroughs will Zohran Mamdani win in NYC Mayoral Race? [Queens],538932,Will Zohran Mamdani win the 2025 NYC mayoral election?,0.91721
KXSB-26-DET,Will the Detroit win the 2026 Pro Football Championship? [Detroit],540216,Will the Detroit Lions win Super Bowl 2026?,0.91707
KXIRELANDPRES-25-MMCD,Who will be elected President of Ireland in 2025? [Michael McDowell],529304,Will Michael McDowell win the Irish Presidential Election?,0.91697
KXSB-26-SF,Will the San Francisco win the 2026 Pro Football Championship? [San Francisco],540233,Will the San Francisco 49ers win Super Bowl 2026?,0.91691
KXIRELANDPRES-25-FBLA,Who will be elected President of Ireland in 2025? [Frances Black],529299,Will Frances Black win the Irish Presidential Election?,0.91682
KXNBA-26-WAS,Will the Washington win the 2026 Pro Basketball Finals? [Washington],553885,Will the Washington Wizards win the 2026 NBA Finals?,0.91669
KXNBA-26-MIN,Will the Minnesota win the 2026 Pro Basketball Finals? [Minnesota],553859,Will the Minnesota Timberwolves win the 2026 NBA Finals?,0.91663
KXSB-26-BAL,Will the Baltimore win the 2026 Pro Football Championship? [Baltimore],540208,Will the Baltimore Ravens win Super Bowl 2026?,0.91654
KXNBA-26-POR,Will the Portland win the 2026 Pro Basketball Finals? [Portland],553879,Will the Portland Trail Blazers win the 2026 NBA Finals?,0.91648
KXNFLNFCEAST-25-DAL,Pro Football NFC East Division Winner? [Dallas],540287,Will the Dallas Cowboys win the NFC East?,0.91641
