ID,Title,Option 1,Option 2,Option 1 Ask (¢),Option 2 Ask (¢),Status,Expires
516841,Andy Jassy out as Amazon CEO in 2025?,Yes,No,9.0,94.0,active,2025-12-31T12:00:00Z
516842,Brian Armstrong out as Coinbase CEO in 2025?,Yes,No,7.0,96.0,active,2025-12-31T12:00:00Z
516845,Will Amazon be the largest company in the world by market cap on December 31?,Yes,No,0.7,99.4,active,2025-12-31T12:00:00Z
516846,Will Saudi Aramco be the largest company in the world by market cap on December 31?,Yes,No,0.5,99.7,active,2025-12-31T12:00:00Z
516847,Sam Altman out as OpenAI CEO in 2025?,Yes,No,6.0,95.0,active,2025-12-31T12:00:00Z
516861,"Will Bitcoin reach $1,000,000 by December 31, 2025?",Yes,No,2.9,97.2,active,2025-12-31T12:00:00Z
516862,"Will Bitcoin reach $250,000 by December 31, 2025?",Yes,No,10.0,91.0,active,2025-12-31T12:00:00Z
516863,"Will Bitcoin reach $200,000 by December 31, 2025?",Yes,No,17.0,84.0,active,2025-12-31T12:00:00Z
516864,"Will Bitcoin reach $150,000 by December 31, 2025?",Yes,No,51.0,50.0,active,2025-12-31T12:00:00Z
516865,"Will Bitcoin reach $130,000 by December 31, 2025?",Yes,No,78.0,23.0,active,2025-12-31T12:00:00Z
516871,"Will Bitcoin dip to $70,000 by December 31, 2025?",Yes,No,14.0,87.0,active,2025-12-31T12:00:00Z
516872,"Will Bitcoin dip to $50,000 by December 31, 2025?",Yes,No,8.0,93.0,active,2025-12-31T12:00:00Z
516873,"Will Bitcoin dip to $20,000 by December 31, 2025?",Yes,No,2.1,98.1,active,2025-12-31T12:00:00Z
516874,"Will Ethereum hit $10,000 by December 31?",Yes,No,5.8,94.7,active,2025-12-31T12:00:00Z
516875,"Will Ethereum hit $8,000 by December 31?",Yes,No,9.0,92.0,active,2025-12-31T12:00:00Z
516876,"Will Ethereum hit $7,000 by December 31?",Yes,No,13.0,88.0,active,2025-12-31T12:00:00Z
516877,"Will Ethereum hit $6,000 by December 31?",Yes,No,18.0,83.0,active,2025-12-31T12:00:00Z
516878,"Will Ethereum hit $5,000 by December 31?",Yes,No,29.0,72.0,active,2025-12-31T12:00:00Z
516879,"Will Ethereum hit $4,000 by December 31?",Yes,No,51.0,50.0,active,2025-12-31T12:00:00Z
516884,"Will Ethereum dip to $1,000 by December 31?",Yes,No,9.0,92.0,active,2025-12-31T12:00:00Z
516886,One Direction reunion in 2025?,Yes,No,10.0,96.0,active,2025-12-31T12:00:00Z
516887,Britney Spears tour in 2025?,Yes,No,12.0,97.0,active,2025-12-31T12:00:00Z
516888,Nara & Lucky divorce in 2025?,Yes,No,8.0,93.0,active,2025-12-31T12:00:00Z
516904,Selena Gomez married in 2025?,Yes,No,20.9,88.5,active,2025-12-31T12:00:00Z
516905,Lana Del Rey divorce in 2025?,Yes,No,10.0,93.0,active,2025-12-31T12:00:00Z
516906,Taylor Swift and Travis Kelce engaged in 2025?,Yes,No,38.0,64.0,active,2025-12-31T12:00:00Z
516907,Hailey Bieber pregnant in 2025?,Yes,No,46.0,91.0,active,2025-12-31T12:00:00Z
516909,Ripple ETF approved in 2025?,Yes,No,84.5,15.8,active,2025-12-31T12:00:00Z
516910,New pandemic in 2025?,Yes,No,8.6,91.7,active,2025-12-31T12:00:00Z
516924,Doge ETF approved in 2025?,Yes,No,75.0,27.0,active,2025-12-31T12:00:00Z
516925,Will the US confirm that aliens exist in 2025?,Yes,No,4.8,95.3,active,2025-12-31T12:00:00Z
516926,MicroStrategy sells any Bitcoin in 2025?,Yes,No,9.0,92.0,active,2025-12-31T12:00:00Z
516927,"Will Gold close under $2,500 at the end of 2025?",Yes,No,3.2,97.3,active,2025-12-31T12:00:00Z
516928,"Will Gold close at $2,500-2,600 at the end of 2025?",Yes,No,2.7,98.3,active,2025-12-31T12:00:00Z
516929,"Will Gold close at $2,600-2,700 at the end of 2025?",Yes,No,2.7,98.7,active,2025-12-31T12:00:00Z
516930,"Will Gold close at $2,700-2,800 at the end of 2025?",Yes,No,2.2,98.6,active,2025-12-31T12:00:00Z
516931,"Will Gold close at $2,800-2,900 at the end of 2025?",Yes,No,5.5,95.1,active,2025-12-31T12:00:00Z
516932,"Will Gold close at $2,900-3,000 at the end of 2025?",Yes,No,4.8,95.3,active,2025-12-31T12:00:00Z
516933,"Will Gold close at $3,000-3,100 at the end of 2025?",Yes,No,8.0,94.0,active,2025-12-31T12:00:00Z
516934,"Will Gold close at $3,100-3,200 at the end of 2025?",Yes,No,13.0,89.0,active,2025-12-31T12:00:00Z
516935,"Will Gold close at $3,200 or more at the end of 2025?",Yes,No,68.0,35.0,active,2025-12-31T12:00:00Z
516937,US national Bitcoin reserve in 2025?,Yes,No,31.0,70.0,active,2025-12-31T12:00:00Z
516938,Will 2025 be the hottest year on record?,Yes,No,7.0,94.0,active,2025-12-31T12:00:00Z
516939,Will Kim Jong Un visit US in 2025?,Yes,No,1.9,98.3,active,2025-12-31T12:00:00Z
516940,Harry & Meghan divorce in 2025?,Yes,No,9.0,92.0,active,2025-12-31T12:00:00Z
516941,Trump divorce in 2025?,Yes,No,4.0,96.1,active,2025-12-31T12:00:00Z
516942,Bird flu vaccine in 2025?,Yes,No,14.0,89.0,active,2025-12-31T12:00:00Z
516943,Jay-Z & Beyoncé divorce in 2025?,Yes,No,9.0,93.0,active,2025-12-31T12:00:00Z
516944,Will Donald Trump win Nobel Peace Prize in 2025?,Yes,No,6.2,94.0,active,2025-12-31T12:00:00Z
516947,Maduro out in 2025?,Yes,No,11.0,90.0,active,2025-12-31T12:00:00Z
516948,Israel withdraws from Gaza in 2025?,Yes,No,29.0,72.0,active,2025-12-31T12:00:00Z
516949,Will a new country buy Bitcoin in 2025?,Yes,No,50.0,53.0,active,2025-12-31T12:00:00Z
516950,Kraken IPO in 2025?,Yes,No,26.0,76.0,active,2025-12-31T12:00:00Z
516958,Supreme Court vacancy in 2025?,Yes,No,11.0,90.0,active,2025-12-31T12:00:00Z
516960,Will Google have the top AI model on December 31?,Yes,No,51.0,51.0,active,2025-12-31T12:00:00Z
516961,Will OpenAI have the top AI model on December 31?,Yes,No,20.0,82.0,active,2025-12-31T12:00:00Z
516962,Will xAI have the top AI model on December 31?,Yes,No,21.0,81.0,active,2025-12-31T12:00:00Z
516963,Will Anthropic have the top AI model on December 31?,Yes,No,4.7,95.9,active,2025-12-31T12:00:00Z
516964,Will Meta have the top AI model on December 31?,Yes,No,5.0,95.5,active,2025-12-31T12:00:00Z
516965,Will DeepSeek have the top AI model on December 31?,Yes,No,3.0,97.5,active,2025-12-31T12:00:00Z
516967,Will Alibaba have the top AI model on December 31?,Yes,No,2.3,98.1,active,2025-12-31T12:00:00Z
517000,NYSE marketwide circuit breaker in 2025?,Yes,No,13.0,89.0,active,2025-12-31T12:00:00Z
517011,Will Avatar 3 be the top grossing movie of 2025?,Yes,No,8.9,91.2,active,2025-12-31T12:00:00Z
517012,Will Wicked: For Good be the top grossing movie of 2025?,Yes,No,10.8,90.0,active,2025-12-31T12:00:00Z
517013,Will Superman be the top grossing movie of 2025?,Yes,No,2.5,98.0,active,2025-12-31T12:00:00Z
517014,Will The Fantastic Four: First Steps be the top grossing movie of 2025?,Yes,No,2.0,98.6,active,2025-12-31T12:00:00Z
517015,Will Jurassic World: Rebirth be the top grossing movie of 2025?,Yes,No,1.2,99.0,active,2025-12-31T12:00:00Z
517016,Will Captain America: Brave New World be the top grossing movie of 2025?,Yes,No,0.3,99.8,active,2025-12-31T12:00:00Z
517017,Will Zootopia 2 be the top grossing movie of 2025?,Yes,No,38.7,62.3,active,2025-12-31T12:00:00Z
517018,Will Thunderbolts be the top grossing movie of 2025?,Yes,No,0.3,99.8,active,2025-12-31T12:00:00Z
517019,Will How to Train Your Dragon be the top grossing movie of 2025?,Yes,No,0.4,99.7,active,2025-12-31T12:00:00Z
517020,Will A Minecraft Movie be the top grossing movie of 2025?,Yes,No,27.0,73.9,active,2025-12-31T12:00:00Z
517021,Will Lilo & Stitch be the top grossing movie of 2025?,Yes,No,11.1,89.6,active,2025-12-31T12:00:00Z
517035,Will less than 4 SpaceX Starship launches successfully reach Space in 2025?,Yes,No,10.4,93.9,active,2025-12-31T12:00:00Z
517037,Will 4-6 SpaceX Starship launches successfully reach Space in 2025?,Yes,No,63.1,37.7,active,2025-12-31T12:00:00Z
517038,Will 7-9 SpaceX Starship launches successfully reach Space in 2025?,Yes,No,22.0,80.0,active,2025-12-31T12:00:00Z
517039,Will 10-12 SpaceX Starship launches successfully reach Space in 2025?,Yes,No,5.0,97.0,active,2025-12-31T12:00:00Z
517040,Will 13-15 SpaceX Starship launches successfully reach Space in 2025?,Yes,No,1.5,98.9,active,2025-12-31T12:00:00Z
517041,Will 16-18 SpaceX Starship launches successfully reach Space in 2025?,Yes,No,0.4,99.8,active,2025-12-31T12:00:00Z
517042,Will 19-21 SpaceX Starship launches successfully reach Space in 2025?,Yes,No,0.6,99.6,active,2025-12-31T12:00:00Z
517043,Will 22-24 SpaceX Starship launches successfully reach Space in 2025?,Yes,No,0.3,99.9,active,2025-12-31T12:00:00Z
517044,Will 25 or more SpaceX Starship launches successfully reach Space in 2025?,Yes,No,0.5,99.8,active,2025-12-31T12:00:00Z
517073,Assad leaves Russia before 2026?,Yes,No,11.0,90.0,active,2025-12-31T12:00:00Z
516482,Will federal spending decrease by less than $250b between Q4 2024 and Q2 2025?,Yes,No,99.0,1.5,active,2025-06-30T12:00:00Z
516483,Will federal spending decrease by $250-500b between Q4 2024 and Q2 2025?,Yes,No,0.9,99.5,active,2025-06-30T12:00:00Z
516484,Will federal spending decrease by $500-750b between Q4 2024 and Q2 2025?,Yes,No,0.8,99.4,active,2025-06-30T12:00:00Z
516485,Will federal spending decrease by $750b-1t between Q4 2024 and Q2 2025?,Yes,No,0.5,100.0,active,2025-06-30T12:00:00Z
516486,Will federal spending decrease by $1-2t between Q4 2024 and Q2 2025?,Yes,No,0.1,100.0,active,2025-06-30T12:00:00Z
516487,Will federal spending decrease by more than $2t between Q4 2024 and Q2 2025?,Yes,No,0.6,99.9,active,2025-06-30T12:00:00Z
517124,AI wins IMO gold medal in 2025?,Yes,No,18.0,86.0,active,2025-12-31T12:00:00Z
517173,Litecoin ETF approved in 2025?,Yes,No,93.0,8.0,active,2025-12-31T12:00:00Z
517190,Cardano ETF in 2025?,Yes,No,84.0,19.0,active,2025-12-31T12:00:00Z
517191,Pepe ETF in 2025?,Yes,No,9.7,90.7,active,2025-12-31T12:00:00Z
517231,Macron out in 2025?,Yes,No,8.0,93.0,active,2025-12-31T12:00:00Z
517233,Will Aaron Rodgers retire?,Yes,No,4.3,98.7,active,2025-09-04T12:00:00Z
517241,Will Kirk Cousins get cut/traded by the Falcons?,Yes,No,31.0,89.0,active,2025-09-04T12:00:00Z
517310,"Will Trump deport less than 250,000?",Yes,No,21.8,79.3,active,2025-12-31T12:00:00Z
517311,"Will Trump deport 250,000-500,000 people?",Yes,No,62.0,39.0,active,2025-12-31T12:00:00Z
517313,"Will Trump deport 500,000-750,000- people?",Yes,No,9.9,91.2,active,2025-12-31T12:00:00Z
517314,"Will Trump deport 750,000-1,000,000 people?",Yes,No,3.4,97.1,active,2025-12-31T12:00:00Z
517315,"Will Trump deport 1,000,000-1,250,000 people?",Yes,No,1.1,99.0,active,2025-12-31T12:00:00Z
517316,"Will Trump deport 1,250,000-1,500,000 people?",Yes,No,0.6,99.7,active,2025-12-31T12:00:00Z
517317,"Will Trump deport 1,500,000-1,750,000 people?",Yes,No,0.6,99.6,active,2025-12-31T12:00:00Z
517318,"Will Trump deport 1,750,000-2,000,000 people?",Yes,No,0.4,99.8,active,2025-12-31T12:00:00Z
517319,"Will Trump deport 2,000,000 or more people?",Yes,No,0.3,99.8,active,2025-12-31T12:00:00Z
517320,Will U.S. National debt surpass $38 trillion in 2025?,Yes,No,87.0,15.0,active,2025-12-31T12:00:00Z
517321,"Will Trump deport 750,000 or more people in 2025?",Yes,No,8.0,94.0,active,2025-12-31T12:00:00Z
517425,Magnificent 7 shrinks below 25% of S&P 500 in 2025?,Yes,No,10.0,96.0,active,2025-12-31T12:00:00Z
517469,Will the Vikings trade JJ McCarthy?,Yes,No,0.9,99.5,active,2025-09-11T12:00:00Z
517550,Will the next UK election is called by December 31?,Yes,No,7.0,93.7,active,2025-12-31T12:00:00Z
517565,Andrew Tate guilty of human trafficking in 2025?,Yes,No,13.0,88.0,active,2025-12-31T12:00:00Z
517603,Will GPT-5 be released by December 31?,Yes,No,91.5,8.8,active,2025-06-30T12:00:00Z
517617,Will Trump cut taxes on high earners in 2025?,Yes,No,17.0,88.0,active,2025-12-31T12:00:00Z
517618,Will Trump cut corporate taxes in 2025?,Yes,No,7.0,95.0,active,2025-12-31T12:00:00Z
517681,Will Waymo surpass Uber SF market share in 2025?,Yes,No,73.0,54.0,active,2025-12-31T12:00:00Z
517720,Will Bezos announce Washington Post sale in 2025?,Yes,No,29.0,89.0,active,2025-12-31T12:00:00Z
517755,OpenAI announces it has achieved AGI in 2025?,Yes,No,11.0,90.0,active,2025-12-31T12:00:00Z
517817,Will Trump acquire Greenland in 2025?,Yes,No,3.7,96.4,active,2025-12-31T12:00:00Z
517834,Elon Musk trillionaire in 2025?,Yes,No,5.0,97.0,active,2025-12-31T12:00:00Z
517855,Will Trump be impeached in 2025?,Yes,No,6.0,94.1,active,2025-12-31T12:00:00Z
517860,Will Travis hunter only play offense?,Yes,No,42.0,60.0,active,2025-12-31T12:00:00Z
517880,Will Travis Hunter only play defense?,Yes,No,0.5,99.9,active,2025-12-31T12:00:00Z
517882,Will Travis Hunter play offense and defense?,Yes,No,60.0,43.0,active,2025-12-31T12:00:00Z
517883,Travis Hunter doesn't play Offense or Defense in first 4 games?,Yes,No,1.1,99.0,active,2025-12-31T12:00:00Z
517962,Trump takes Panama Canal in 2025?,Yes,No,8.0,93.0,active,2025-12-31T12:00:00Z
517964,Congressional term limits in 2025?,Yes,No,9.3,95.4,active,2025-12-31T12:00:00Z
518036,US government shutdown in 2025?,Yes,No,41.0,60.0,active,2025-12-31T12:00:00Z
518490,Bayrou out as French PM in 2025?,Yes,No,54.0,48.0,active,2025-12-31T12:00:00Z
518501,Will 'Superman' have the best domestic opening weekend in 2025?,Yes,No,0.1,100.0,active,2025-12-31T12:00:00Z
518506,Will 'Avatar: Fire and Ash' have the best domestic opening weekend in 2025?,Yes,No,17.9,82.8,active,2025-12-31T12:00:00Z
518507,Will 'The Fantastic Four: First Steps' have the best domestic opening weekend in 2025?,Yes,No,0.6,99.5,active,2025-12-31T12:00:00Z
518508,Will 'Zootopia 2' have the best domestic opening weekend in 2025?,Yes,No,14.0,88.0,active,2025-12-31T12:00:00Z
518509,Will 'Wicked: For Good' have the best domestic opening weekend in 2025?,Yes,No,4.6,96.1,active,2025-12-31T12:00:00Z
518510,Will 'A Minecraft Movie' have the best domestic opening weekend in 2025?,Yes,No,62.8,37.9,active,2025-12-31T12:00:00Z
518514,Will 'Michael' have the best domestic opening weekend in 2025?,Yes,No,0.6,99.6,active,2025-12-31T12:00:00Z
518576,Gavin Newsom out as California Governor in 2025?,Yes,No,8.0,94.0,active,2025-12-31T12:00:00Z
518577,Karen Bass out as Mayor of LA in 2025?,Yes,No,11.3,89.2,active,2025-12-31T12:00:00Z
518615,Will Yoon be sentenced to prison in 2025?,Yes,No,31.0,72.0,active,2025-12-31T12:00:00Z
518718,U.S. enacts AI safety bill in 2025?,Yes,No,24.0,76.5,active,2025-12-31T12:00:00Z
518753,Caitlin Clark stalker pleads guilty?,Yes,No,87.0,79.1,active,2025-12-31T12:00:00Z
518863,Will Donald Trump visit Israel in 2025?,Yes,No,33.0,72.0,active,2025-12-31T12:00:00Z
518865,Will Donald Trump visit Mexico in 2025?,Yes,No,11.0,92.0,active,2025-12-31T12:00:00Z
518868,Will Donald Trump visit Japan in 2025?,Yes,No,55.0,56.0,active,2025-12-31T12:00:00Z
518869,Will Donald Trump visit Germany in 2025?,Yes,No,49.0,62.0,active,2025-12-31T12:00:00Z
518870,Will Donald Trump visit South Korea in 2025?,Yes,No,64.0,38.0,active,2025-12-31T12:00:00Z
518871,Will Donald Trump visit France in 2025?,Yes,No,52.0,60.0,active,2025-12-31T12:00:00Z
518872,US national Solana reserve in 2025?,Yes,No,10.0,92.0,active,2025-12-31T12:00:00Z
518873,US national XRP reserve in 2025?,Yes,No,9.0,94.0,active,2025-12-31T12:00:00Z
518874,US national Ethereum reserve in 2025?,Yes,No,19.0,83.0,active,2025-12-31T12:00:00Z
518875,US national Dogecoin reserve in 2025?,Yes,No,6.5,94.1,active,2025-12-31T12:00:00Z
518876,Will NBA competitor raise >$3b in 2025?,Yes,No,23.0,84.9,active,2025-12-31T12:00:00Z
518889,Will Donald Trump visit Russia in 2025?,Yes,No,11.0,91.0,active,2025-12-31T12:00:00Z
518890,Will Donald Trump visit Ukraine in 2025?,Yes,No,8.0,94.0,active,2025-12-31T12:00:00Z
518891,Will Donald Trump visit Taiwan in 2025?,Yes,No,7.0,94.0,active,2025-12-31T12:00:00Z
518901,Texas Strategic Bitcoin Reserve Act (H.B. 1598) signed in 2025?,Yes,No,2.9,97.7,active,2025-12-31T12:00:00Z
519049,Obama divorce in 2025?,Yes,No,7.0,94.0,active,2025-12-31T12:00:00Z
519052,GTA VI released in 2025?,Yes,No,5.5,94.9,active,2025-12-31T12:00:00Z
519276,Zuckerberg divorce in 2025?,Yes,No,7.0,94.0,active,2025-12-31T12:00:00Z
519589,Kamala Harris divorce in 2025?,Yes,No,2.7,97.4,active,2025-12-31T12:00:00Z
519591,Trump abolishes the Federal Income Tax in 2025?,Yes,No,6.0,95.0,active,2025-12-31T12:00:00Z
519695,Will Iran close the Strait of Hormuz in 2025?,Yes,No,15.0,86.0,active,2025-12-31T12:00:00Z
519732,Will Donald Trump visit China in 2025?,Yes,No,47.0,54.0,active,2025-12-31T12:00:00Z
519734,Ryan Reynolds & Blake Lively divorce in 2025?,Yes,No,9.0,92.0,active,2025-12-31T12:00:00Z
519735,Is John McAfee alive?,Yes,No,3.8,97.3,active,2025-12-31T12:00:00Z
519763,Will Trump cut long term capital gains tax in 2025?,Yes,No,7.0,95.0,active,2025-12-31T12:00:00Z
520173,Trump removed via 25th Amendment in 2025?,Yes,No,6.0,95.0,active,2025-12-31T12:00:00Z
520174,Will Trump resign in 2025?,Yes,No,4.6,95.6,active,2025-12-31T12:00:00Z
520427,Will DeepSeek have a #1 AI model this year?,Yes,No,10.0,91.0,active,2025-12-31T12:00:00Z
520429,Will Anthropic have a #1 AI model this year?,Yes,No,10.0,92.0,active,2025-12-31T12:00:00Z
520430,Will Meta have a #1 AI model this year?,Yes,No,17.0,85.0,active,2025-12-31T12:00:00Z
520431,Will Zhipu AI have a #1 AI model this year?,Yes,No,7.7,93.1,active,2025-12-31T12:00:00Z
520432,Will Mistral have a #1 AI model this year?,Yes,No,5.3,95.1,active,2025-12-31T12:00:00Z
520433,Will Alibaba have a #1 AI model this year?,Yes,No,10.0,92.0,active,2025-12-31T12:00:00Z
520434,Will Nvidia have a #1 AI model this year?,Yes,No,6.0,95.0,active,2025-12-31T12:00:00Z
520435,Will 01A1 have a #1 AI model this year?,Yes,No,7.0,95.0,active,2025-12-31T12:00:00Z
520579,Israel and Saudi Arabia normalize relations in 2025?,Yes,No,24.0,78.0,active,2025-12-31T12:00:00Z
520630,Will China invade Taiwan in 2025?,Yes,No,9.0,92.0,active,2025-12-31T12:00:00Z
520688,X Money launch in 2025?,Yes,No,75.0,30.0,active,2025-12-31T12:00:00Z
521467,Will Mavericks fire GM Nico Harrison?,Yes,No,10.7,99.4,active,2025-07-31T12:00:00Z
521532,Starmer out in 2025?,Yes,No,14.0,88.0,active,2025-12-31T12:00:00Z
521534,Milei out as President of Argentina in 2025?,Yes,No,9.1,91.9,active,2025-12-31T12:00:00Z
521536,Meloni out as Prime Minister of Italy in 2025?,Yes,No,6.0,95.0,active,2025-12-31T12:00:00Z
521630,Joe Biden book deal in 2025?,Yes,No,42.0,64.0,active,2025-12-31T12:00:00Z
521873,Will the U.S. take over Gaza in 2025?,Yes,No,6.0,95.0,active,2025-12-31T12:00:00Z
521878,US-Iran nuclear deal in 2025?,Yes,No,28.0,74.0,active,2025-12-31T12:00:00Z
521915,Will LLA hold the most seats in the Chamber of Deputies following the 2025 Argentina election?,Yes,No,25.0,76.0,active,2025-10-26T12:00:00Z
521916,Will UP hold the most seats in the Chamber of Deputies following the 2025 Argentina election?,Yes,No,74.0,28.0,active,2025-10-26T12:00:00Z
521917,Will PRO hold the most seats in the Chamber of Deputies following the 2025 Argentina election?,Yes,No,0.5,99.6,active,2025-10-26T12:00:00Z
520885,Kim Jong Un out as Supreme Leader of North Korea in 2025?,Yes,No,7.0,94.0,active,2025-12-31T12:00:00Z
520927,Iran Nuke in 2025?,Yes,No,8.0,93.0,active,2025-12-31T12:00:00Z
520928,Will Elon Musk win Nobel Peace Prize in 2025?,Yes,No,2.6,97.7,active,2025-12-31T12:00:00Z
520930,Will Trump remove Jerome Powell in 2025?,Yes,No,19.0,82.0,active,2025-12-31T12:00:00Z
520992,North Korea x South Korea military clash by December 31?,Yes,No,7.0,94.0,active,2025-12-31T12:00:00Z
521019,China x Taiwan military clash by December 31?,Yes,No,9.0,92.0,active,2025-12-31T12:00:00Z
521026,Will Russia capture Pokrovsk by December 31?,Yes,No,65.0,36.0,active,2025-06-30T12:00:00Z
521027,Will North Korea invade South Korea in 2025?,Yes,No,3.8,96.4,active,2025-12-31T12:00:00Z
521029,China x India military clash by December 31?,Yes,No,9.0,94.0,active,2025-12-31T12:00:00Z
521031,China x Philippines military clash by December 31?,Yes,No,7.0,94.0,active,2025-12-31T12:00:00Z
521032,Will Venezuela invade Guyana in 2025?,Yes,No,10.0,92.0,active,2025-12-31T12:00:00Z
521103,NATO/EU troops fighting in Ukraine in 2025?,Yes,No,10.5,92.5,active,2025-12-31T12:00:00Z
521187,dogwifhat on the sphere in 2025?,Yes,No,11.0,92.0,active,2025-12-31T12:00:00Z
521255,Will Trump & Elon reduce the deficit in 2025?,Yes,No,18.8,84.1,active,2026-02-28T12:00:00Z
521918,Will UCR hold the most seats in the Chamber of Deputies following the 2025 Argentina election?,Yes,No,0.5,99.6,active,2025-10-26T12:00:00Z
521919,Will HNP hold the most seats in the Chamber of Deputies following the 2025 Argentina election?,Yes,No,0.5,99.6,active,2025-10-26T12:00:00Z
521920,Will FIT-U hold the most seats in the Chamber of Deputies following the 2025 Argentina election?,Yes,No,0.6,99.6,active,2025-10-26T12:00:00Z
521921,Will SER hold the most seats in the Chamber of Deputies following the 2025 Argentina election?,Yes,No,0.5,99.6,active,2025-10-26T12:00:00Z
521932,Will LLA win the most seats in the Chamber of Deputies following the 2025 Argentina election?,Yes,No,85.0,16.0,active,2025-10-26T12:00:00Z
521933,Will UP win the most seats in the Chamber of Deputies following the 2025 Argentina election?,Yes,No,14.0,88.0,active,2025-10-26T12:00:00Z
